station,channel,station_latitude,station_longitude,vs30_ms,Ml,epicentral_distance,hypocentral_distance,channel_pga_pct_g,channel_pgv_ms
CCUT,HHE,37.5507,-113.363,2197.0,3.3,28.38,29.28,0.05610461,0.01148317
CCUT,HHN,37.5507,-113.363,2197.0,3.3,28.38,29.28,0.06369122,0.01793381
KNB,HHE,37.0167,-112.8223,1460.0,3.3,66.97,67.35,0.02098928,0.00490654
KNB,HHN,37.0167,-112.8223,1460.0,3.3,66.97,67.35,0.02248261,0.00482006
CCPU,ENE,37.666,-113.0882,1010.0,3.3,8.91,11.46,0.1980314,0.06509269
CCPU,ENN,37.666,-113.0882,1010.0,3.3,8.91,11.46,0.172615,0.04263325
CVH,ENE,37.7152,-113.064,234.0,3.3,13.65,15.44,1.22884,0.2853402
CVH,ENN,37.7152,-113.064,234.0,3.3,13.65,15.44,0.7753687,0.1507673
HHS,ENE,37.1738,-113.296,234.0,3.3,51.52,52.02,0.12089,0.02563362
HHS,ENN,37.1738,-113.296,234.0,3.3,51.52,52.02,0.1001586,0.01962206
IAE,ENE,37.6652,-113.067,234.0,3.3,8.22,10.93,0.2710145,0.04786245
IAE,ENN,37.6652,-113.067,234.0,3.3,8.22,10.93,0.9951976,0.1563605
KEUT,ENE,37.0503,-112.529,234.0,3.3,75.69,76.03,0.03388773,0.00723484
KEUT,ENN,37.0503,-112.529,234.0,3.3,75.69,76.03,0.02945556,0.00702549
LCMT,ENE,37.0118,-113.244,1460.0,3.3,66.84,67.23,0.1484247,0.0253521
LCMT,ENN,37.0118,-113.244,1460.0,3.3,66.84,67.23,0.1003426,0.01496918
PEUT,ENE,38.7759,-112.0886,234.0,3.3,155.82,155.98,0.00517773,0.00161823
PEUT,ENN,38.7759,-112.0886,234.0,3.3,155.82,155.98,0.00411178,0.00092848
REUT,ENE,37.0977,-113.519,234.0,3.3,69.11,69.49,0.0822977,0.02371622
REUT,ENN,37.0977,-113.519,234.0,3.3,69.11,69.49,0.0777532,0.01996394
SCUT,ENE,37.1282,-113.6447,234.0,3.3,73.97,74.32,0.04689052,0.01000089
SCUT,ENN,37.1282,-113.6447,234.0,3.3,73.97,74.32,0.06558809,0.01075279
WCO,ENE,37.1318,-113.509,234.0,3.3,65.58,65.97,0.06038463,0.01368908
WCO,ENN,37.1318,-113.509,234.0,3.3,65.58,65.97,0.05900682,0.00876919
